NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
ALGAR,50418418969,689732007,1003704716,R PAULO SILVA   0   CONJ HAB ANTONIO ROMAGNOLLI,,SP,3505906,5M00G9W,WCDMA,880,869,10,,,028661005344,17.6,28.0,58.86,.00,50.0,032341303903,80.000,-20.91639,-47.57583,2017-01-09,2017-01-09,2023-01-21,Batatais,20250719,1,10.0,0.008315
ALGAR,50418418969,689732007,1003704716,R PAULO SILVA   0   CONJ HAB ANTONIO ROMAGNOLLI,,SP,3505906,5M00G9W,WCDMA,880,869,120,,,028661005344,17.6,28.0,58.86,.00,50.0,032341303903,80.000,-20.91639,-47.57583,2017-01-09,2017-01-09,2023-01-21,Batatais,20250719,2,120.0,0.008315
ALGAR,50418418969,689732007,1003704716,R PAULO SILVA   0   CONJ HAB ANTONIO ROMAGNOLLI,,SP,3505906,5M00G9W,WCDMA,880,869,280,,,028661005344,17.6,28.0,58.86,.00,50.0,032341303903,80.000,-20.91639,-47.57583,2017-01-09,2017-01-09,2023-01-21,Batatais,20250719,4,280.0,0.008315
ALGAR,50418418969,97822014|4942023,1012010691,RUA OTORINO RAVAGNANI,SP 334 KM 353,SP,3505906,10M0G7W|5M00G7W,LTE|WCDMA,768|874.5,713|829.5,10,,,056001603518,14|14.4,25,69|68,0,55,085672001350|110322001350,60|80,-20.86539,-47.59933,2023-03-10,2021-06-07,2029-12-08|2028-11-29,Batatais,20250719,1,10.0,1.59274
ALGAR,50418418969,97822014|4942023,1012010691,RUA OTORINO RAVAGNANI,SP 334 KM 353,SP,3505906,10M0G7W|5M00G7W,LTE|WCDMA,768|874.5,713|829.5,115,,,056001603518,14|14.4,25,69|68,0,55,085672001350|110322001350,60|80,-20.86539,-47.59933,2023-03-10,2021-06-07,2029-12-08|2028-11-29,Batatais,20250719,2,115.0,1.59274
ALGAR,50418418969,97822014|4942023,1012010691,RUA OTORINO RAVAGNANI,SP 334 KM 353,SP,3505906,10M0G7W|5M00G7W,LTE|WCDMA,768|874.5,713|829.5,225,,,056001603518,14|14.4,25,69|68,1,55,085672001350|110322001350,60|80,-20.86539,-47.59933,2023-03-10,2021-06-07,2029-12-08|2028-11-29,Batatais,20250719,3,225.0,1.59274
ALGAR,04030023541,30692021|22212023,1012028558,RUA OTORINO RAVAGNANI,SP 334 KM 353,SP,3505906,10M0G7W|5M00G7W,LTE|WCDMA,768|874.5,713|829.5,10,,,056001603518,14|14.4,25,69|68,0,50,085672001350|110322001350,60|80,-20.86539,-47.59933,2023-04-25,2021-06-14,2023-01-21|2028-11-29,Batatais,20250719,1,10.0,1.59274
ALGAR,04030023541,30692021|22212023,1012028558,RUA OTORINO RAVAGNANI,SP 334 KM 353,SP,3505906,10M0G7W|5M00G7W,LTE|WCDMA,768|874.5,713|829.5,115,,,056001603518,14|14.4,25,69|68,0,50,085672001350|110322001350,60|80,-20.86539,-47.59933,2023-04-25,2021-06-14,2023-01-21|2028-11-29,Batatais,20250719,2,115.0,1.59274
ALGAR,04030023541,30692021|22212023,1012028558,RUA OTORINO RAVAGNANI,SP 334 KM 353,SP,3505906,10M0G7W|5M00G7W,LTE|WCDMA,768|874.5,713|829.5,225,,,056001603518,14|14.4,25,69|68,1,50,085672001350|110322001350,60|80,-20.86539,-47.59933,2023-04-25,2021-06-14,2023-01-21|2028-11-29,Batatais,20250719,3,225.0,1.59274
ALGAR,04030023541,22212023,1012077753,RUA MANOEL PEREIRA PIMENTA,,SP,3505906,200KG7W,GSM,953.75,908.75,0,,,015070301293,10.4,0,0,0,75,002920501171,70.79,-20.90212,-47.58985,2023-07-07,2021-07-05,2032-12-22,Batatais,20250719,1,0.0,0.012039999999999999
ALGAR,04030023541,77872023,1012077753,RUA MANOEL PEREIRA PIMENTA,,SP,3505906,5M00G9W,WCDMA,2130,1940,106,,,013320701705,19.2,30,64,0,65,007881401350,60.53,-20.90212,-47.58985,2023-07-07,2021-07-05,2032-12-22,Batatais,20250719,2,106.0,0.012039999999999999
ALGAR,04030023541,77872023,1012077753,RUA MANOEL PEREIRA PIMENTA,,SP,3505906,5M00G9W,WCDMA,2130,1940,270|340,,,013320701705,19.2,30,64,0,65,007881401350,60.53,-20.90212,-47.58985,2023-07-07,2021-07-05,2032-12-22,Batatais,20250719,4,305.0,0.012039999999999999
ALGAR,04030023541,22212023|77872023,1012108780,RUA CEL JOAQUIM ROSA,,SP,3505906,200KG7W|10M0G7W|5M00G9W,GSM|LTE|WCDMA,1825|2130|874.5,1730|1940|829.5,95,,,056001603518|013840801705,16.6|18.3|13.52,25|28|20,66|60|68,2|0,55,007590903257|015121601350|007881401350|032341303903,80.35|60|60.53|65,-20.89082,-47.58501,2023-07-07,2021-07-12,2032-12-22,Batatais,20250719,2,95.0,0.66255
ALGAR,04030023541,22212023|77872023,1012108780,RUA CEL JOAQUIM ROSA,,SP,3505906,200KG7W|10M0G7W|5M00G9W,GSM|LTE|WCDMA,1825|2130|874.5,1730|1940|829.5,240,,,056001603518|013840801705,16.6|18.3|13.52,25|28|20,66|60|68,0|0.2,55,007590903257|015121601350|007881401350|032341303903,80.35|60|60.53|65,-20.89082,-47.58501,2023-07-07,2021-07-12,2032-12-22,Batatais,20250719,3,240.0,0.66255
ALGAR,04030023541,22212023|77872023,1012108780,RUA CEL JOAQUIM ROSA,,SP,3505906,200KG7W|10M0G7W|5M00G9W,GSM|LTE|WCDMA,1825|2130|874.5,1730|1940|829.5,346,,,056001603518|013840801705,16.6|18.3|13.52,25|28|20,66|60|68,0,55,007590903257|015121601350|007881401350|032341303903,80.35|60|60.53|65,-20.89082,-47.58501,2023-07-07,2021-07-12,2032-12-22,Batatais,20250719,4,346.0,0.66255
ALGAR,04030023541,22212023,1012109957,ROD CANDIDO PORTINARI SP 334,KM 360,SP,3505906,200KG7W,GSM,953.75,908.75,40,,,007290201293,17.5,25,65,0,50,002920501171,70.79,-20.81718,-47.58525,2023-04-25,2021-07-12,2028-11-29,Batatais,20250719,1,40.0,0.018595
ALGAR,04030023541,22212023,1012109957,ROD CANDIDO PORTINARI SP 334,KM 360,SP,3505906,200KG7W,GSM,953.75,908.75,200,,,007290201293,17.5,25,65,0,50,002920501171,70.79,-20.81718,-47.58525,2023-04-25,2021-07-12,2028-11-29,Batatais,20250719,3,200.0,0.018595
ALGAR,04030023541,22212023,1012109965,R PAULO SILVA,,SP,3505906,5M00G9W,WCDMA,874.5,829.5,10,,,028661005344,16.9,25,70,0,50,032341303903,65,-20.91652,-47.57591,2023-04-25,2021-07-12,2028-11-29,Batatais,20250719,1,10.0,0.008315
ALGAR,04030023541,22212023,1012109965,R PAULO SILVA,,SP,3505906,5M00G9W,WCDMA,874.5,829.5,120,,,028661005344,16.9,25,70,0,50,032341303903,65,-20.91652,-47.57591,2023-04-25,2021-07-12,2028-11-29,Batatais,20250719,2,120.0,0.008315
ALGAR,04030023541,22212023,1012109965,R PAULO SILVA,,SP,3505906,5M00G9W,WCDMA,874.5,829.5,280,,,028661005344,16.9,25,70,0,50,032341303903,65,-20.91652,-47.57591,2023-04-25,2021-07-12,2028-11-29,Batatais,20250719,4,280.0,0.008315
ALGAR,50418418969,689732007,404249698,RUA MANOEL PEREIRA PIMENTA     180   OURO VERDE,,SP,3505906,200KG7W,GSM,955,952.5,0,,,015070301293,8.0,,,,75.0,002920501171|013810501597,70.700|42.700,-20.90194,-47.58972,2016-11-22,1999-09-22,2023-01-21,Batatais,20250719,1,0.0,0.012039999999999999
ALGAR,50418418969,16962008,404249698,RUA MANOEL PEREIRA PIMENTA     180   OURO VERDE,,SP,3505906,5M00G9W,WCDMA,2135,2125,106,,,013320701705,11.8,23.0,65.00,.00,65.0,007881401350,61.600,-20.90194,-47.58972,2016-11-22,1999-09-22,2023-04-30,Batatais,20250719,2,106.0,0.012039999999999999
ALGAR,50418418969,16962008,404249698,RUA MANOEL PEREIRA PIMENTA     180   OURO VERDE,,SP,3505906,5M00G9W,WCDMA,2135,2125,270|340,,,013320701705,11.8,23.0,65.00,.00,65.0,007881401350,61.600,-20.90194,-47.58972,2016-11-22,1999-09-22,2023-04-30,Batatais,20250719,4,305.0,0.012039999999999999
ALGAR,50418418969,97822014|4942023|105732021|48362023,413166422,RUA CEL JOAQUIM ROSA,,SP,3505906,10M0G7W|20M0G7W|80M0D7W|5M00G9W,LTE|NR|WCDMA,768|1825|2370|3640|2130|874.5,713|1730|2370|3640|1940|829.5,95,,,056001603518|218782303257|168242103257|013840801705,14|16.6|23.5|23.8|18.3|16.8,25|28|26,69|66|65|60|70,3|0,55,079372003257|083071803257|218782303257|168242103257|007881401350|032341303903,60|80|199.5|60.53,-20.89082,-47.58501,2024-05-21,1999-09-22,2029-12-08|2028-11-29|2041-12-08|2038-04-30,Batatais,20250719,2,95.0,0.66255
ALGAR,50418418969,97822014|4942023|105732021|48362023,413166422,RUA CEL JOAQUIM ROSA,,SP,3505906,10M0G7W|20M0G7W|80M0D7W|5M00G9W,LTE|NR|WCDMA,768|1825|2370|3640|2130|874.5,713|1730|2370|3640|1940|829.5,240,,,056001603518|218782303257|168242103257|013840801705,14|16.6|23.5|23.8|18.3|16.8,25|28|26,69|66|65|60|70,3|0|2,55,079372003257|083071803257|218782303257|168242103257|007881401350|032341303903,60|80|199.5|60.53,-20.89082,-47.58501,2024-05-21,1999-09-22,2029-12-08|2028-11-29|2041-12-08|2038-04-30,Batatais,20250719,3,240.0,0.66255
ALGAR,50418418969,97822014|4942023|105732021|48362023,413166422,RUA CEL JOAQUIM ROSA,,SP,3505906,10M0G7W|20M0G7W|80M0D7W|5M00G9W,LTE|NR|WCDMA,768|1825|2370|3640|2130|874.5,713|1730|2370|3640|1940|829.5,346,,,056001603518|218782303257|168242103257|013840801705,14|16.6|23.5|23.8|18.3|16.8,25|28|26,69|66|65|60|70,3|0,55,079372003257|083071803257|218782303257|168242103257|007881401350|032341303903,60|80|199.5|60.53,-20.89082,-47.58501,2024-05-21,1999-09-22,2029-12-08|2028-11-29|2041-12-08|2038-04-30,Batatais,20250719,4,346.0,0.66255
ALGAR,50418418969,689732007,413166899,RODOVIA CANDIDO PORTINARI SP 334 KM 360   S/N   RURAL,,SP,3505906,200KG7W,GSM,955,952.5,40,,,007290201293,15.0,30.0,65.00,2.00,50.0,002920501171,70.700,-20.81694,-47.585,2012-06-14,1999-11-09,2023-01-21,Batatais,20250719,1,40.0,0.018595
ALGAR,50418418969,689732007,413166899,RODOVIA CANDIDO PORTINARI SP 334 KM 360   S/N   RURAL,,SP,3505906,200KG7W,GSM,955,952.5,200,,,007290201293,15.0,30.0,65.00,2.00,50.0,013810501597|002920501171,42.700|70.700,-20.81694,-47.585,2012-06-14,1999-11-09,2023-01-21,Batatais,20250719,3,200.0,0.018595
