NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,105752021,1006519324,R MARTINS FONTES,5-35,SP,3506003,100MG7W,NR,3350,3350,50,,,,23,25,13.5,0,41.5,072212102519,200,-22.33815,-49.08707,2023-06-15,2018-04-30,2041-12-08,Bauru,20240828,1,50.0,0.9024099999999999
CLARO,50409105090,105752021,1006519324,R MARTINS FONTES,5-35,SP,3506003,100MG7W,NR,3350,3350,170,,,,23,25,13.5,0,41.5,072212102519,200,-22.33815,-49.08707,2023-06-15,2018-04-30,2041-12-08,Bauru,20240828,2,170.0,0.9024099999999999
CLARO,50409105090,105752021,1006519324,R MARTINS FONTES,5-35,SP,3506003,100MG7W,NR,3350,3350,300,,,,23,25,13.5,0,41.5,072212102519,200,-22.33815,-49.08707,2023-06-15,2018-04-30,2041-12-08,Bauru,20240828,4,300.0,0.9024099999999999
CLARO,50409105090,105752021,1012780705,R NADIR MARTINELLI,,SP,3506003,100MG7W,NR,3350,3350,0|20,,,221942302519,25,25,65,0|-1,44,221942302519,160,-22.30071,-49.03814,2024-06-13,2022-01-26,2041-12-08,Bauru,20240828,1,10.0,0.820585
CLARO,50409105090,105752021,1012780705,R NADIR MARTINELLI,,SP,3506003,100MG7W,NR,3350,3350,130,,,221942302519,25,25,65,-1,44,221942302519,160,-22.30071,-49.03814,2024-06-13,2022-01-26,2041-12-08,Bauru,20240828,2,130.0,0.820585
CLARO,50409105090,105752021,1013238327,AL URANO,,SP,3506003,100MG7W,NR,3350,3350,0,,,,23,25,13.5,-1,41.5,072212102519,200,-22.31114,-49.09806,2024-03-21,2022-07-01,2041-12-08,Bauru,20240828,1,0.0,0.32824000000000003
CLARO,50409105090,105752021,1013238327,AL URANO,,SP,3506003,100MG7W,NR,3350,3350,160,,,,23,25,13.5,-2,41.5,072212102519,200,-22.31114,-49.09806,2024-03-21,2022-07-01,2041-12-08,Bauru,20240828,2,160.0,0.32824000000000003
CLARO,50409105090,105752021,1013238327,AL URANO,,SP,3506003,100MG7W,NR,3350,3350,290,,,,23,25,13.5,-1,41.5,072212102519,200,-22.31114,-49.09806,2024-03-21,2022-07-01,2041-12-08,Bauru,20240828,4,290.0,0.32824000000000003
CLARO,50409105090,105752021,1014230206,PC SALIM HADDAD NETO,ED. SOLAR FONTAINEBLEAU,SP,3506003,50M0G7W,NR,2325,2325,25,,,,16.2,28,79,0,67,139102102519,50,-22.33798,-49.05478,2023-06-27,2022-09-15,2038-04-30,Bauru,20240828,1,25.0,0.344445
CLARO,50409105090,105752021,1014230206,PC SALIM HADDAD NETO,ED. SOLAR FONTAINEBLEAU,SP,3506003,50M0G7W,NR,2325,2325,150,,,,16.2,28,79,0,67,139102102519,50,-22.33798,-49.05478,2023-06-27,2022-09-15,2038-04-30,Bauru,20240828,2,150.0,0.344445
CLARO,50409105090,105752021,1014230206,PC SALIM HADDAD NETO,ED. SOLAR FONTAINEBLEAU,SP,3506003,50M0G7W,NR,2325,2325,230,,,,16.2,28,79,0,67,139102102519,50,-22.33798,-49.05478,2023-06-27,2022-09-15,2038-04-30,Bauru,20240828,3,230.0,0.344445
CLARO,50409105090,105752021,1014782047,R ENGENHEIRO CASSIO AUGUSTO SZELIGOWSKI VILLACA,,SP,3506003,100MG7W,NR,3350,3350,80,,,081161903518,16,23,70,-2,43.5,028652302519,40,-22.31194,-49.12038,2024-06-05,2023-03-20,2041-12-08,Bauru,20240828,1,80.0,1.150725
CLARO,50409105090,105752021,1014782047,R ENGENHEIRO CASSIO AUGUSTO SZELIGOWSKI VILLACA,,SP,3506003,100MG7W,NR,3350,3350,190|260,,,081161903518,16,23,70,-2|-1,41|42,028652302519,40,-22.31194,-49.12038,2024-06-05,2023-03-20,2041-12-08,Bauru,20240828,3,225.0,1.150725
CLARO,50409105090,105752021,422423297,R CARLOS DEL PLETE,NÃÂº 4-25,SP,3506003,100MG7W,NR,3350,3350,70,,,212712202519,24.4,25,65,-3,32,212712202519,229,-22.34897,-49.06076,2023-08-30,1999-09-20,2028-03-31,Bauru,20240828,1,70.0,0.62061
CLARO,50409105090,105752021,422423297,R CARLOS DEL PLETE,NÃÂº 4-25,SP,3506003,100MG7W,NR,3350,3350,200,,,212712202519,24.4,25,65,-2,32,212712202519,229,-22.34897,-49.06076,2023-08-30,1999-09-20,2028-03-31,Bauru,20240828,3,200.0,0.62061
CLARO,50409105090,105752021,422423297,R CARLOS DEL PLETE,NÃÂº 4-25,SP,3506003,100MG7W,NR,3350,3350,315,,,212712202519,24.4,25,65,-1,32,212712202519,229,-22.34897,-49.06076,2023-08-30,1999-09-20,2028-03-31,Bauru,20240828,4,315.0,0.62061
CLARO,50409105090,105752021,422423343,R SEVERINO LINS,,SP,3506003,100MG7W,NR,3350,3350,30,,,212712202519,24.4,25,65,-1,33,212712202519,229,-22.35892,-49.04397,2023-08-25,1999-09-20,2028-03-31,Bauru,20240828,1,30.0,0.95586
CLARO,50409105090,105752021,422423343,R SEVERINO LINS,,SP,3506003,100MG7W,NR,3350,3350,120,,,212712202519,24.4,25,65,-1,33,212712202519,229,-22.35892,-49.04397,2023-08-25,1999-09-20,2028-03-31,Bauru,20240828,2,120.0,0.95586
CLARO,50409105090,105752021,422423343,R SEVERINO LINS,,SP,3506003,100MG7W,NR,3350,3350,260,,,212712202519,24.4,25,65,-1,33,212712202519,229,-22.35892,-49.04397,2023-08-25,1999-09-20,2028-03-31,Bauru,20240828,3,260.0,0.95586
CLARO,50409105090,105752021,422423351,TV BOA SORTE,,SP,3506003,100MG7W,NR,3350,3350,0,,,212712202519,24.4,25,65,-4,47,212712202519,229,-22.32805,-49.07332,2023-06-20,1999-09-20,2028-03-31,Bauru,20240828,1,0.0,0.470655
CLARO,50409105090,105752021,422423351,TV BOA SORTE,,SP,3506003,100MG7W,NR,3350,3350,160,,,212712202519,24.4,25,65,0,47,212712202519,229,-22.32805,-49.07332,2023-06-20,1999-09-20,2028-03-31,Bauru,20240828,2,160.0,0.470655
CLARO,50409105090,105752021,422423351,TV BOA SORTE,,SP,3506003,100MG7W,NR,3350,3350,250,,,212712202519,24.4,25,65,-5,47,212712202519,229,-22.32805,-49.07332,2023-06-20,1999-09-20,2028-03-31,Bauru,20240828,3,250.0,0.470655
CLARO,50409105090,105752021,685052664,R ALBERTO SEGALLA,ED HORIZONTE TÃÂRREO,SP,3506003,100MG7W,NR,3350,3350,20,,,212712202519,24.4,25,65,0,54.5,212712202519,229,-22.34276,-49.0505,2023-06-27,2005-03-15,2038-04-30,Bauru,20240828,1,20.0,0.344445
CLARO,50409105090,105752021,685052664,R ALBERTO SEGALLA,ED HORIZONTE TÃÂRREO,SP,3506003,100MG7W,NR,3350,3350,200,,,212712202519,24.4,25,65,0,54.5,212712202519,229,-22.34276,-49.0505,2023-06-27,2005-03-15,2038-04-30,Bauru,20240828,3,200.0,0.344445
CLARO,50409105090,105752021,685052664,R ALBERTO SEGALLA,ED HORIZONTE TÃÂRREO,SP,3506003,100MG7W,NR,3350,3350,300,,,212712202519,24.4,25,65,0,54.5,212712202519,229,-22.34276,-49.0505,2023-06-27,2005-03-15,2038-04-30,Bauru,20240828,4,300.0,0.344445
CLARO,50409105090,105752021,690005458,R AMADEU CAVALIERI,,SP,3506003,100MG7W,NR,3350,3350,115,,,,23,25,13.5,0,30,072212102519,200,-22.28955,-49.04862,2023-06-15,2008-02-27,2041-12-08,Bauru,20240828,2,115.0,0.820585
CLARO,50409105090,105752021,690005458,R AMADEU CAVALIERI,,SP,3506003,100MG7W,NR,3350,3350,240,,,,23,25,13.5,-3,30,072212102519,200,-22.28955,-49.04862,2023-06-15,2008-02-27,2041-12-08,Bauru,20240828,3,240.0,0.820585
CLARO,50409105090,105752021,690005458,R AMADEU CAVALIERI,,SP,3506003,100MG7W,NR,3350,3350,345,,,,23,25,13.5,-2,29,072212102519,200,-22.28955,-49.04862,2023-06-15,2008-02-27,2041-12-08,Bauru,20240828,4,345.0,0.820585
CLARO,50409105090,105752021,690582080,AV NACOES UNIDAS,,SP,3506003,100MG7W,NR,3350,3350,40,,,212712202519,24.4,25,65,-5,50,212712202519,229,-22.3206,-49.06892,2023-08-28,2008-09-29,2038-04-30,Bauru,20240828,1,40.0,0.470655
CLARO,50409105090,105752021,690582080,AV NACOES UNIDAS,,SP,3506003,100MG7W,NR,3350,3350,150,,,212712202519,24.4,25,65,-4,50,212712202519,229,-22.3206,-49.06892,2023-08-28,2008-09-29,2038-04-30,Bauru,20240828,2,150.0,0.470655
CLARO,50409105090,105752021,690582080,AV NACOES UNIDAS,,SP,3506003,100MG7W,NR,3350,3350,260,,,212712202519,24.4,25,65,-6,50,212712202519,229,-22.3206,-49.06892,2023-08-28,2008-09-29,2038-04-30,Bauru,20240828,3,260.0,0.470655
CLARO,50409105090,105752021,690632207,RUA ANICETO ABELHA,NÃÂº 5-57,SP,3506003,100MG7W,NR,3350,3350,110,,,,23,25,13.5,-2,42,072212102519,200,-22.30902,-49.09211,2024-05-21,2008-09-29,2041-12-08,Bauru,20240828,2,110.0,0.32824000000000003
