NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,34672011|48372023|97692014|46622011|10632019|59592012,1000532400,R 28 DE SETEMBRO,LOJA 172, PRAIAMAR SHOPPING,SP,3548500,10M0G7W|20M0G7W|5M00G7W,,2140|2117.5|798|1875|2625|2640|885,0,FB,Greenfield,760,056001603518,14.7|13|14.3|14.5|14,25|23,53|67|65|59|62,X,27.5,010891905894|057731705894|040952002519|045621602519|039721705894,80|60|40,-23.9529,G,2023-06-19|2023-11-27,603fd01f9edcf|603fd01fa27c0|603fd01fa2d21|603fd01fa326f|603fd01fa37d4|84c20248ad4c7e24|84c20248ad4c7e25|84c20248ad4c7e26|84c20248ad4c7e2d|84c20248ad4c7e2e|84c20248ad4c7e2f|84c20248ad4c7e3c|84c20248ad4c7e3e|84c20248ad4c7e40|84c20248ad4c7e42|84c20248ad4c7e44|84c20248ad4c7e46|0378d5f803a010c5|0378d5f803a010c6|0378d5f803a010c7|603fd01f92c4b|603fd01f9348e|603fd01f939b7|4d5c01a17924c|5a3d0517c6de9|5a3d0517ccd92,,20250719,1,0.0,0.01445
CLARO,50409105090,25152016|46662011|48372023|34672011,1000593840,ROD INDIO TIBIRIÃÂA,ACESSO PELA RUA DOURADOS, 41,SP,3543303,15M0G7W|2M50G7W|5M00G7W,,1842.5|892.75|2130|885|2140,0,FB,Greenfield,760,008541105344|012720905344,16.97|13.52|16.18,34.65|20,71.05|68|65,X,70|67,047451501882|033151401882|039201301882,40|59.98|60,-23.68302,G,2023-11-21,5f3553e2bfb4d|5f3553e2c0495|5f3553e2c0dcb|5bf2b5a61e19e|5bf2b5a61ed53|5bf2b5a61f9ac|4d5c01a179ed0|4d5c01a179ed1|4d5c01a179ed2|4d5c01a179eda|4d5c01a179f06|4d5c01a179f07|5f3553e2bc2ad|5f3553e2be94a|5f3553e2bf25d,,20250719,1,0.0,0.298025
CLARO,50409105090,59592012|48372023|34672011|46622011,1000621372,R WALTER VIEIRA PINTO,QUADRA 16 - E, LOTE 201,SP,3552205,10M0G7W|20M0G7W|5M00G7W,,2625|2640|2117.5|2140|885|892.75,0,FB,Greenfield,760,,17.6|16.9|13.8,21|22|23,51|62|70,X,34,045621602519|040952002519|039721705894,40|20|80,-23.51732,G,2023-06-20,5f972c2ec0cd5|5f972c2ec1a7c|5f972c2ec2670|5f972c2ec143b|5f972c2ec20b2|5f972c2ec2c61|055ac2480e7b17ea|055ac2480e7b17eb|055ac2480e7b17ec|055ac2480e7b17ed|055ac2480e7b17ee|055ac2480e7b17ef|5b292ecb90f7c|5b292ecb96187|5b292ecb96742|055ac2480e7b180b|055ac2480e7b180c|055ac2480e7b180d,,20250719,1,0.0,0.6677799999999999
CLARO,50409105090,25152016|46662011,1002978669,R RAUL BRESSANI MALTA,LOTE 175 - ACESSO PELA PELA RUA JOSÃÂ AUGUSTO MOREIRA, 266,SP,3516408,15M0G7W|2M50G7W|5M00G7W,,1842.5|892.75|885,0,FB,Greenfield,760,027331703519|012720905344,16.16|13.52,27|20,66.76|68,X,46,012111805894|033151401882,40|59.98|59.9,-23.32189,G,2023-11-21,5f4a7bc2ab147|5f4a7bc2ad2ac|5f4a7bc2ad7b8|4307f5f8022cdb38|4307f5f8022cdb39|4307f5f8022cdb3a|4d5c01a197b63|4d5c01a197b64|4d5c01a197b65|4d5c01a197b66|4d5c01a197b67,,20250719,1,0.0,0.47223000000000004
CLARO,50409105090,46622011|48372023|34672011,1002991835,R OSVALDO TEMPESTA,ESQ COM  RUA ADELAIDE PALOMO LANGUAS,,SP,3549706,2M50G7W|5M00G7W,,892.75|2117.5|885|2140,0,FB,Greenfield,760,012720905344,13.52|16.18,20,68|65,X,40,008881101882|008041101882,72.44|61.52,-21.60682,G,2023-11-21,4d5c01a197e6d|4d5c01a197e73|4d5c01a197e74|4d5c01a197e67|4d5c01a197e6f|4d5c01a197e71|4d5c01a197e72|4d5c01a197e7a|4d5c01a197e7e|528df5f803d64527|528df5f803d64528|528df5f803d64529,,20250719,1,0.0,390.15657
CLARO,50409105090,97692014|46622011,1003074844,R JOAO XISTO PAES,LOTE 2, DA QUADRA A,SP,3522307,10M0G7W|2M50G7W|5M00G7W,,798|892.75|885,0,FB,Greenfield,760,,13.4|13.8,21|23,68,X,40,033782402519|033151401882,79.43|59.98,-23.62104,G,2024-05-08,9f133648f6b9f9ef|9f133648f6b9f9f0|9f133648f6b9f9f1|5c66c4c177098|5c66c4c18041d|5c66c4c18e0cc|4d5c01a19aa48|4d5c01a19aa4c|4d5c01a19aa4f,,20250719,1,0.0,0.057875
CLARO,50409105090,25152016|46662011,1003617597,R ALEXANDRIA,ESQUINA NO FIM DA RUA ALEXANDRIA, ÃÂ ESQUERDA,SP,3543303,15M0G7W|2M50G7W|5M00G7W,,1842.5|892.75|885,0,FB,Greenfield,760,027331703519,16.16|14.1,27|25,66.76|66.56,X,60,012111805894|033151401882,40|59.98,-23.73042,G,2023-11-21,5f3d1b8c71f5e|5f3d1b8c73861|5f3d1b8c73cd3|5ca24de616fbf|5ca24de61bc57|5ca24de620999|4d5c01a1a4f39|4d5c01a1a4f3a|4d5c01a1a4f3d,,20250719,1,0.0,1.7258099999999998
CLARO,50409105090,25152016|46662011,1003618194,R UIRAPURU,EM FRENTE AO NUMERO 60, INICIO DA RUA UIRAPURU,SP,3543303,15M0G7W|2M50G7W|5M00G7W,,1842.5|892.75|885,0,FB,Greenfield,760,009371303519,17.08|14.89,30,72.66|65.28,X,47,012111805894|033151401882,40|59.98,-23.69,G,2023-11-21,5f3553fb03b05|5f3553fb050c8|5f3553fb054d3|5c8a5edfe9895|5c8a5edfee558|5c8a5edff31af|4d5c01a1a4f9a|4d5c01a1a4f9b|4d5c01a1a4f9c,,20250719,1,0.0,0.298025
CLARO,50409105090,25152016|105752021|46662011,1005012196,R ALCAMENE,ESQUINA COM R CASTELAR DE CARVALHO, 02 LT 13 QD K,SP,3550308,15M0G7W|20M0G7W|2M50G7W|5M00G7W,,1842.5|2325|892.75|885,0,FB,Greenfield,760,003692202519,16.7|24|13.8,25,64|70|60,X,33.5|33,006091702519|003692202519|039721705894,79.43|50|80,-23.63267,G,2024-07-26,5f368f3982d4a|5f368f398334c|5f368f398387f|c29a36488649a498|c29a36488649a499|c29a36488649a49a|f70cc5f8025b6c12|f70cc5f8025b6c13|f70cc5f8025b6c14|59d92f6c3c5ae|59d92f6c3cda3|59d92f6c3e583,,20250719,1,0.0,0.025915
CLARO,50409105090,25152016|46662011,1005863242,R GUILHERME PORCARI,ESQUINA AV. GUILHERME PORCARI,1812,SP,3525904,15M0G7W|2M50G7W|5M00G7W,,1842.5|892.75|885,0,FB,Greenfield,760,027331703519|012720905344,16.16|13.52,27|20,66.76|68,X,50,006091702519|039721705894,79.43|80,-23.19887,G,2023-11-21,5f3553e450431|5f3553e450cca|5f3553e4511c0|5ab515ef5fe9e|5ab515ef60829|5ab515ef611ec|5ab515ef5f9d9|5ab515ef60371|5ab515ef60d10,,20250719,1,0.0,0.08389
