NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,97812014|59632012|48352023,1001075398,Rua JoÃÂ£o Butarelli,"Qd. ""B""", Lt 12 E 13.,SP,3529005,10M0G7W|5M00G7W,,778|2655|2130,0,FB,Greenfield,760,056001603518,11.96|16.15,25,74|65,X,51.4,031191601350|024251201882|008041101882,40,-22.258722,G,2024-03-29,5eaae51010254|5eaae51012f08|5eaae510135f5|5eaae510151c8|5eaae5101583b|5eaae51015e5f|5eaae51013c20|5eaae510142a4|5eaae5101491a,,20250716,1,0.0,0.6463450000000001
TIM,50010613854,97812014|59632012|150132023|59552012|47102015|48352023,1001285570,Rodovia Monteiro Lobato,Km 97,62,SP,3549904,10M0G7W|5M00G7W,,778|2655|2625|2665|1812.5|1822.5|1830|2130,0,FB,Greenfield,760,056001603518,11.96,25,74,X,36,057731705894|045621602519|006091702519|027191702519,40,-23.142194,G,2024-04-24,5e99df75ca801|5e99df75cbdaf|5e99df75cc2f8|511bd248476422e8|511bd248476422e9|511bd248476422ea|6f21c5f803c1ee15|6f21c5f803c1ee16|6f21c5f803c1ee17|6f21c5f803c1ee18|6f21c5f803c1ee19|6f21c5f803c1ee1a|6f21c5f803c1ee1b|6f21c5f803c1ee1c|5e99df75cc937|5e99df75ccfbb|5e99df75cd6e0|5e99df75ce98b|5e99df75cf0f2|5e99df75cfb77|5e99df75d06d6|5e99df75d0fe4|5e99df75d209a|5e99df75d29e2|5e99df75d3111|5e99df75d394c,,20250716,1,0.0,0.19111
TIM,50010613854,97812014|47102015|48352023|69272020,1001408117,RUA EDWARD BATISTA DO NASCIMENTO,LTE 01, QD K,SP,3549904,10M0G7W|5M00G7W,,778|1812.5|1822.5|1830|2130,0,FB,Greenfield,760,056001603518,11.96|16.15,25,74|65,X,31,057731705894|006091702519|027191702519,40,-23.192972,G|E,2023-08-03,5e7cd447aa60f|5e7cd447ac1e5|5e7cd447ad14e|5e7cd447ae0fa|5e7cd447af23a|5e7cd447b03b5|5e7cd447b31a5|5e7cd447b5fe3|5e7cd447b6ea3|5e7cd447b7e5e|5e7cd447b8cd1|5e7cd447b9c10|5e7cd447bb078|5e7cd447bc35f|5e7cd447bd3e8|0ef4d24809a9ebf8|0ef4d24809a9ebf9|0ef4d24809a9ebfa,TIM S A,20250716,1,0.0,1.2939749999999999
TIM,50010613854,47102015|48392023|48352023,1001622739,Rua Professor Rodrigues ValÃÂª,Esquina Com A Rua Enxovia, 8,SP,3550308,2M50G7W|5M00G7W,,956.25|958.75|2117.5,0,FB,Greenfield,760,056001603518,11.96|16.15,25,74|65,X,21,000131201882|027191702519,40,-23.627708,G,2024-07-18,4d5c01a182d92|4d5c01a182d93|4d5c01a182d94|4d5c01a182d95|4d5c01a182d96|4d5c01a182d9d|4d5c01a182d87|4d5c01a182d88|4d5c01a182d90,,20250716,1,0.0,0.48568
TIM,50010613854,97812014|47102015|48352023|59632012|48392023,1001631177,Rua Aristides Lopes,Lote 19, Quadra 147 Da Gleba C,SP,3529401,10M0G7W|2M50G7W|5M00G7W,,778|1812.5|2117.5|2655|956.25|958.75|1832.5,0,FB,Greenfield,760,056001603518|147502002519,16.15|15.9,25,65,X,40|39,057731705894|006091702519|008041101882|038411301882|147502002519|045621602519|000131201882|027191702519,40,-23.65028,G,2024-07-18,5e8c7707a0a62|5e8c7707a2c50|5e8c7707a3359|5e8c7707a6381|5e8c7707a6a99|5e8c7707a71b5|5e8c7707aa58a|5e8c7707aad87|5e8c7707ab56d|5e8c7707abd2c|5e8c7707acb29|5e8c7707ad2d0|9c4c324823e87308|9c4c324823e87309|9c4c324823e8730a|9c4c324823e87314|9c4c324823e87315|9c4c324823e87316|9c4c324823e8731a|9c4c324823e8731b|9c4c324823e8731c|9c4c324823e87320|9c4c324823e87321|9c4c324823e87322|5e8c7707a3a1f|5e8c7707a40bd|5e8c7707a4754|5e8c7707a4e2c|5e8c7707a551d|5e8c7707a5c26|9c4c324823e8730e|9c4c324823e8730f|9c4c324823e87310|9c4c324823e87311|9c4c324823e87312|9c4c324823e87313|5e8c7707a78df|5e8c7707a8026|5e8c7707a8799|9c4c324823e87317|9c4c324823e87318|9c4c324823e87319|5e8c7707a8edb|5e8c7707a965e|5e8c7707a9dd7|9c4c324823e8731d|9c4c324823e8731e|9c4c324823e8731f,,20250716,1,0.0,0.060375
TIM,50010613854,48352023|69272020,1001719503,Rodovia Presidente Dutra,Km 73,8,SP,3502507,5M00G7W,,2130,0,FB,,760,008541105344,16.8,27,68.91,X,40,005851101882,40,-22.8675,G|E,2023-08-30,4d5c01a18436c|4d5c01a18436d|4d5c01a18436e|212cf5f85bbd1f66|212cf5f85bbd1f67|212cf5f85bbd1f68,TIM S A,20250716,1,0.0,0.20153000000000001
TIM,50010613854,48352023|47102015,1003431450,RUA JOÃÂO DE ASSUNÃÂÃÂO,QUADRA C-2, LOTE 019,SP,3552403,2M50G7W|5M00G7W,,1830|1822.5|2130,0,FB,,760,056001603518,16.15,25,65,X,18,006091702519|027191702519,40,-22.854056,G,2023-07-07,e87162a8d94608af|e87162a8d94608b0|e87162a8d94608b1|0ef4d2480a6282cb|0ef4d2480a6282cc|0ef4d2480a6282cd|e87162a8d94608b2|e87162a8d94608b3|e87162a8d94608b4,,20250716,1,0.0,0.25601
TIM,50010613854,97812014|48352023|69272020|47102015,1003679258,Rua Francisco De Campos Filho,Lote 19, Quadra C,SP,3501608,10M0G7W|15M0G7W|5M00G7W,,778|2130|1812.5|1822.5|1830,0,FB,Greenfield,760,056001603518,16.15,25,65,X,50,057731705894|027191702519|006091702519,40,-22.74025,G|E,2023-08-11,5f5f6f0e7d3fc|5f5f6f0e7de7d|5f5f6f0e7e280|5f5f6f0e86874|5f5f6f0e86c86|5f5f6f0e870ea|5f5f6f0e85ba6|5f5f6f0e86038|5f5f6f0e86467|19a9d2480586d39f|19a9d2480586d3a0|19a9d2480586d3a1|5f5f6f0e800d1|5f5f6f0e80508|5f5f6f0e808f6|5f5f6f0e80ce8|5f5f6f0e810c7|5f5f6f0e8149c|5f5f6f0e8319c|5f5f6f0e8364a|5f5f6f0e83aa3,TIM S A,20250716,1,0.0,0.030824999999999998
TIM,50010613854,48352023,1004898395,Rodovia Brigadeiro Faria Lima,Km 425,5,SP,3505500,5M00G7W,,2130,0,FB,Greenfield,760,056001603518,16.15,25,65,X,40,008041101882,40,-20.53889,G,2024-02-26,5de54dcc42802|5de54dcc42caa|5de54dcc43157,,20250716,1,0.0,0.82277
TIM,50010613854,97812014|48352023,1005513926,RODOVIA PRES. DUTRA,KM 38, ZONA RURAL,SP,3508603,10M0G7W|5M00G7W,,778|2130,0,FB,Greenfield,760,056001603518,11.96,25|30,74|65,X,40,018591601350|005851101882,40,-22.666222,G,2023-08-31,528df5f8024a7a05|528df5f8024a7a06|528df5f8024a7a07|5a3b8dd06cb3d|5a3b8dd06d1bb|5a3b8dd06d596,,20250716,1,0.0,2.20722
