NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,Municipio.NomeMunicipio,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,105802021,1005313005,R MATO GROSSO,,SP,3502804,100MG7W,NR,3450,3450,10,,,116652103257,25,23,60,0,36,116652103257,200,-21.209856,-50.430947,2024-05-24,2017-11-22,2041-12-08,AraÃÂ§atuba,20240828,1,10.0,0.27762
VIVO,50409146447,105802021,1005313005,R MATO GROSSO,,SP,3502804,100MG7W,NR,3450,3450,150,,,116652103257,25,23,60,0,36,116652103257,200,-21.209856,-50.430947,2024-05-24,2017-11-22,2041-12-08,AraÃÂ§atuba,20240828,2,150.0,0.27762
VIVO,50409146447,105802021,1005313005,R MATO GROSSO,,SP,3502804,100MG7W,NR,3450,3450,260,,,116652103257,25,23,60,0,36,116652103257,200,-21.209856,-50.430947,2024-05-24,2017-11-22,2041-12-08,AraÃÂ§atuba,20240828,3,260.0,0.27762
VIVO,50409146447,105802021,1007263099,RUA VEREADOR SILVA GROTA,,SP,3502804,100MG7W,NR,3450,3450,50,,,116652103257,25,23,60,2,35,116652103257,200,-21.1995,-50.434,2024-05-24,2018-09-17,2041-12-08,AraÃÂ§atuba,20240828,1,50.0,0.38276499999999997
VIVO,50409146447,105802021,1007263099,RUA VEREADOR SILVA GROTA,,SP,3502804,100MG7W,NR,3450,3450,130,,,116652103257,25,23,60,2,35,116652103257,200,-21.1995,-50.434,2024-05-24,2018-09-17,2041-12-08,AraÃÂ§atuba,20240828,2,130.0,0.38276499999999997
VIVO,50409146447,105802021,1007263099,RUA VEREADOR SILVA GROTA,,SP,3502804,100MG7W,NR,3450,3450,230,,,116652103257,25,23,60,1,35,116652103257,200,-21.1995,-50.434,2024-05-24,2018-09-17,2041-12-08,AraÃÂ§atuba,20240828,3,230.0,0.38276499999999997
VIVO,50409146447,105802021,1011754999,RUA DOUTOR LUIZ NOGUEIRA MARTINS,,SP,3502804,100MG7W,NR,3450,3450,20,,,116652103257,25,23,60,6,63,116652103257,200,-21.217781,-50.451117,2024-05-24,2021-02-19,2041-12-08,AraÃÂ§atuba,20240828,1,20.0,0.39436
VIVO,50409146447,105802021,1011754999,RUA DOUTOR LUIZ NOGUEIRA MARTINS,,SP,3502804,100MG7W,NR,3450,3450,130,,,116652103257,25,23,60,6,63,116652103257,200,-21.217781,-50.451117,2024-05-24,2021-02-19,2041-12-08,AraÃÂ§atuba,20240828,2,130.0,0.39436
VIVO,50409146447,105802021,1011754999,RUA DOUTOR LUIZ NOGUEIRA MARTINS,,SP,3502804,100MG7W,NR,3450,3450,260,,,116652103257,25,23,60,6,63,116652103257,200,-21.217781,-50.451117,2024-05-24,2021-02-19,2041-12-08,AraÃÂ§atuba,20240828,3,260.0,0.39436
VIVO,50409146447,105802021,1012610389,RUA HUMAITÃÂ,,SP,3502804,100MG7W,NR,3450,3450,40,,,116652103257,25,23,60,2,48,116652103257,200,-21.206393,-50.434815,2024-05-24,2021-11-24,2041-12-08,AraÃÂ§atuba,20240828,1,40.0,0.220625
VIVO,50409146447,105802021,1012610389,RUA HUMAITÃÂ,,SP,3502804,100MG7W,NR,3450,3450,130,,,116652103257,25,23,60,2,48,116652103257,200,-21.206393,-50.434815,2024-05-24,2021-11-24,2041-12-08,AraÃÂ§atuba,20240828,2,130.0,0.220625
